description,fav_number,sidebar_color,tweet_count,name,gender
0.0,0,other,0,jessicayounis,1
0.0,1,blue,1,_ThatkidZach,0
1.0,0,0,1,PennTweetz,0
1.0,1,other,1,RetiredTeacherD,0
1.0,0,blue,1,Kingabdul07,0
1.0,0,other,1,dam3_un_beso,1
0.0,1,other,1,kweenaj_____,1
1.0,0,other,0,JLJ167,0
0.0,1,blue,0,ellpennerz,1
0.0,1,other,0,dirthelmet,0
0.0,1,other,0,brxwnlouise,1
1.0,0,blue,1,TerryNova_,1
0.0,0,other,1,TMT_French,1
1.0,0,0,1,NaughtyBeyotch,1
1.0,1,other,1,briteveprice,1
1.0,0,other,0,SteidlSteinberg,0
1.0,0,blue,0,CristyMandy,1
1.0,0,other,1,clrdougherty,0
0.0,0,0,1,TexasCruzn,0
1.0,1,0,0,taylorsuggxxxxx,0
1.0,1,other,1,bambamschoker,0
1.0,0,blue,0,OnLocationEd,0
1.0,1,0,0,PegueroM,1
1.0,1,0,0,sydeischens,1
1.0,1,0,1,martmns,1
1.0,1,0,1,SpaceGodfather,0
0.0,0,0,0,ReggieThompson1,0
1.0,0,blue,0,Ashlee35900,1
0.0,1,other,1,cxntlaura,1
1.0,0,other,1,KevinWGrossman,0
0.0,1,other,1,blaaaakey,1
0.0,1,0,1,noragamis,1
0.0,0,0,0,ATriptoArete,1
0.0,0,other,0,TFYouWant,0
1.0,1,0,1,TheBrandonShire,0
0.0,1,0,1,bob_ide,0
1.0,1,0,1,AdrianaDuji,1
0.0,1,blue,1,Samkrazzzy,0
1.0,0,other,0,StephenLockPA,0
1.0,0,blue,0,Kris_Knox,0
0.0,0,blue,0,andymather88,0
1.0,0,other,1,inGagasHeart,1
1.0,1,blue,1,iAm_Makhubu,0
1.0,0,blue,0,P_Kindilien,1
1.0,0,0,0,Varsha_Nair_,1
0.0,0,0,0,iamgabbalitaan,0
0.0,1,blue,1,ruhtyt,1
1.0,0,blue,0,Jazzy0_8,0
1.0,1,blue,1,AltarOfTheCowl,0
0.0,0,0,1,too_blunted23,1
1.0,1,blue,0,bretmulligan,0
1.0,0,blue,0,Y2k87_,0
1.0,0,other,0,BobKnightTweet,0
1.0,1,blue,1,scandaryl,1
0.0,1,blue,0,oliviamockford_,1
0.0,1,other,1,sighs4l,1
0.0,1,blue,0,micewithcigars,1
1.0,1,blue,0,TheBigBunBun,0
0.0,1,other,0,rooksfeather,1
0.0,0,0,1,dxniellejean,1
0.0,1,0,1,_azieyazieyzah,1
0.0,0,other,0,LeeAdamWilshier,0
1.0,1,other,1,JaclynAnneD,1
1.0,0,blue,1,KingJique,0
1.0,0,other,1,LanitaWildey,0
1.0,1,other,1,WesleyLowery,0
1.0,1,blue,1,Speratti1D,0
0.0,1,blue,1,oceantay,1
0.0,0,0,1,3IRIS6Miranda19,1
0.0,0,blue,0,hodgmik1,0
0.0,1,other,1,normaniser,1
1.0,0,other,1,pacoschroeder,0
0.0,0,0,0,ericf_7,0
0.0,1,other,1,RhiannonDarling,1
1.0,0,blue,0,abz_absz,1
0.0,0,blue,1,tmckenney203,0
0.0,0,0,0,petergrossman,0
1.0,0,0,0,cemberlii,1
0.0,0,blue,0,ce_2chocolate,1
1.0,0,blue,1,kathniel_ivy,1
0.0,0,other,1,Mr_CaptnObvious,0
0.0,0,0,1,JRaquell_,1
1.0,0,other,0,theawalton18,1
1.0,0,other,1,ghazyIM98,0
1.0,0,blue,1,ArdithBordonaro,1
1.0,1,other,0,kellycarberry,1
1.0,0,0,0,MrColtEdwards,0
1.0,0,other,0,Atrapa_cocos,0
0.0,0,other,0,MaryanneBigTi,1
1.0,1,other,0,Lea_Maria__,1
1.0,0,blue,1,leechjgena,1
0.0,0,blue,0,Savvyheiden,1
1.0,1,0,1,GeorgeCochrane1,0
1.0,0,0,0,hcarecomply,0
0.0,1,other,1,mellymel5_,1
0.0,0,blue,1,createdrumbeats,0
0.0,1,0,1,RayWills_4,1
1.0,0,other,0,smartopian,0
0.0,1,0,1,Bambino_302,0
0.0,1,blue,0,jdowns15,0
1.0,1,other,1,NotAnthrFangirl,1
1.0,1,other,0,paul_hembo,0
1.0,0,blue,0,MassimoLandi7,0
0.0,1,other,1,allthelowex,1
1.0,0,blue,0,THE__ARAB,0
0.0,1,other,1,dinahsthot,1
0.0,1,blue,1,guy_someone69,0
0.0,1,blue,0,ibeast2014,0
0.0,0,blue,0,Leeiaah_,1
0.0,1,0,0,ewclayton,1
1.0,1,blue,1,n8taki,1
1.0,0,blue,0,feminist_ghost,1
0.0,1,blue,0,rama_beba,0
0.0,0,blue,0,BrianFrmThe5th,0
1.0,0,other,0,bjbernstein,1
0.0,0,0,0,PFC_Williams,0
1.0,0,0,0,definitemutter,1
0.0,1,blue,1,tikaudzu,1
0.0,1,blue,1,usa_ella,1
1.0,1,other,1,West_Stand_O,0
0.0,0,blue,1,RichardsBirch,1
1.0,1,0,1,horannotyou,0
0.0,1,other,1,_allisoonn_,1
1.0,0,blue,0,AndreaM1969,1
1.0,1,other,1,iansuth,0
0.0,0,blue,1,HaileyW22810137,1
1.0,0,other,1,pacoschroeder,0
0.0,1,blue,1,ed1aniia,1
1.0,1,blue,1,TheRealPianoBoy,0
1.0,1,other,0,bainenathan,0
1.0,1,other,1,Merl_Hammer,0
0.0,0,blue,1,SharonMichaelso,1
1.0,0,other,0,SusieCumberland,1
0.0,0,0,0,HoneyTeta,0
1.0,0,other,0,Albertkeyn,0
1.0,0,other,1,templefareast,0
0.0,1,blue,1,DraftRyan2016,0
0.0,1,other,1,MissBTC2015,1
0.0,0,blue,1,WarrenColton1,1
1.0,0,blue,0,DMirayes,0
0.0,0,blue,1,cintaselalu21,1
1.0,1,blue,0,AlvesCristiano7,0
1.0,1,other,1,Rachel1D2010,0
1.0,1,0,1,PhineasAndFerg,0
1.0,1,blue,0,Kar_M12,1
0.0,0,blue,1,1010xl_T_Wigg,0
0.0,0,other,1,carol_kawira,0
0.0,1,0,1,Tyfrm910,0
1.0,1,other,1,Modo0007,0
0.0,1,blue,1,SianChristinaK,1
1.0,1,other,1,HelenLuvsVSPink,1
1.0,1,blue,1,pixiemama100,1
1.0,0,other,0,SKJtraveler,1
1.0,1,blue,1,WatchFiendNatey,0
1.0,0,blue,1,murthy1983,0
1.0,1,0,0,iam_mbonisi,0
1.0,0,other,1,LeveragYourBook,1
1.0,0,blue,0,ACbrd21,0
1.0,1,0,1,demilouhazz,0
0.0,0,blue,1,CramerRonald1,1
0.0,0,other,1,_laaumake,1
0.0,1,blue,1,kaebitb,1
0.0,0,blue,0,HYOSlCA,1
1.0,1,0,1,Mvni__,0
1.0,0,0,0,RepentforJesus,0
1.0,0,other,1,GemaVanbelle,0
1.0,1,other,1,icanbeyourruler,1
0.0,1,blue,1,snlz0,1
0.0,1,blue,1,shirleyymoo,1
0.0,1,other,1,lilMan_Blair,0
0.0,0,blue,0,jamaal_greene,0
0.0,1,blue,0,IainMenzies2,0
0.0,0,other,1,DeniseCassino,1
1.0,0,blue,0,LewisThompson_8,0
1.0,1,blue,1,surzro,0
1.0,0,blue,1,rabah_wael,0
1.0,1,other,1,AllenYork,0
1.0,1,other,0,amandacleghorn,1
1.0,1,other,1,MattMcNeilAM950,0
0.0,1,blue,1,octaviaaash,0
1.0,0,other,0,SherryBabie,1
0.0,1,0,1,steph_the_sloth,1
1.0,0,other,1,LiverpoolSailor,0
0.0,1,blue,1,janinenatt,1
1.0,0,blue,0,Tblow21,1
0.0,0,other,0,Rajna_Hussain,1
0.0,0,other,0,josealvarado213,0
0.0,1,other,0,KirstenKxOxO,1
1.0,1,other,1,___mixedbeauty,1
0.0,1,0,0,damronburgundy,1
0.0,0,blue,0,luisalberto71,0
0.0,1,blue,1,mriannaburrayxo,1
0.0,0,0,0,hhughes0320,0
0.0,0,blue,1,DysonAmanda1,1
0.0,0,other,0,shanoeliz,1
1.0,1,blue,0,DoltonTV,0
0.0,0,blue,1,PAT_My_DICK,0
1.0,0,other,0,HuuKiwi,0
0.0,0,blue,0,tipsaaaynicki,0
1.0,0,other,1,jb_winchester,1
0.0,0,other,0,sileaswarwick,1
1.0,1,other,1,DzifaJ,1
1.0,0,blue,1,TerryNova_,1
0.0,0,blue,1,PearcyAdam,1
0.0,0,other,1,kjllianjones,0
1.0,1,blue,1,steve1ellen,0
0.0,1,other,1,JuniorChirino1,0
1.0,1,blue,1,mkayla_bayla,1
1.0,0,blue,0,Munkychunky6,0
0.0,0,blue,0,Fizell,1
0.0,1,other,0,matt_b84,0
0.0,0,blue,0,briankrowland,0
0.0,0,other,0,Next_Game_Bro,0
0.0,0,blue,0,JETROCKETSKATES,0
1.0,1,other,1,TheNinjaMax,0
1.0,1,other,1,SemajZachary,0
0.0,1,0,1,MADIEXGUILLEN,1
1.0,1,other,1,dianagoodmans,1
0.0,1,other,1,Perksofbeeing,1
0.0,0,other,0,meashy_c,1
0.0,0,other,1,__Blest,0
0.0,0,other,1,ogreen32,0
1.0,1,other,1,RandyHolbrook,0
1.0,0,blue,0,Iaurensmith,1
1.0,1,other,1,iAmRoxyAyala,1
1.0,1,other,0,Hedi_Bb,0
0.0,0,blue,0,Tangent_Grunt,0
0.0,0,blue,1,RogerKatherine,1
0.0,0,blue,0,gothharrystyles,0
0.0,1,blue,0,clark_garrison4,0
0.0,1,blue,0,stevieD321,0
1.0,0,blue,0,Julez_afrique,1
1.0,0,other,0,Mr_Franks,0
1.0,0,blue,0,PSA_Advisors,0
0.0,1,other,0,Sammy_Jenkins,1
0.0,1,other,1,tippszaay,0
0.0,0,blue,0,Cafferine,1
0.0,0,blue,0,blankyhanky9,0
0.0,1,blue,0,The_Official_TW,1
1.0,1,0,0,julieweigley,1
1.0,1,other,1,mrsvwashington,1
1.0,1,0,1,Free_Martinis,0
0.0,1,blue,0,_scoper_xX,1
0.0,0,blue,0,htx3_,0
0.0,1,0,1,nouisftangels,0
0.0,1,blue,0,rconley95,0
0.0,0,blue,0,Peter100147,0
1.0,0,other,1,MyHerbalGarden,0
1.0,0,blue,0,yeg_nerd,0
0.0,0,0,0,thisdreamsalive,1
0.0,1,0,0,charliarceo,1
0.0,0,blue,1,Ayu7sith4,1
0.0,0,other,0,YoderS719,1
0.0,1,blue,0,KristoferMJones,0
0.0,1,blue,0,anabellxox,1
1.0,1,blue,0,anayeli_garfias,1
0.0,1,other,1,royalty1214,1
1.0,0,blue,0,maryjewellmtr,1
0.0,0,blue,0,__leo97,0
1.0,0,0,0,theunrulyboy,0
1.0,0,0,0,Roxy__Foxy_,1
1.0,1,blue,1,HunnidRoundz,0
1.0,0,other,1,Boeingpro,0
0.0,0,blue,0,blankyhanky21,0
0.0,0,blue,0,blankyhanky16,0
0.0,0,blue,0,R_Parmley,0
1.0,1,blue,0,JackTownNoah,0
0.0,0,blue,0,blankyhanky2,0
1.0,0,blue,0,sosocy,1
0.0,1,blue,0,QueeenPeach,1
0.0,1,0,1,MeganGilbertt,1
0.0,0,blue,0,blankyhanky12,0
1.0,0,blue,0,Fahima90,1
1.0,1,blue,1,austin7175,0
0.0,1,other,0,CherishR1,1
1.0,0,0,0,TheBibliolater,1
1.0,0,other,1,Italiataff,1
1.0,0,blue,0,Richhomiedk,0
0.0,0,0,1,Iindaikeji,1
0.0,1,blue,1,Stevebucky_lilo,0
0.0,0,blue,0,blankyhanky,1
0.0,1,other,1,disownedlrh,1
1.0,0,blue,1,DrBBahrami,0
1.0,1,0,0,totally_tay113,1
1.0,0,blue,0,NancyLei,1
1.0,1,blue,1,dilop10,0
0.0,0,other,1,AsianSweet_,1
0.0,0,blue,0,G_The_Prodigy,0
0.0,1,other,0,sydneyaweaver,1
1.0,0,blue,0,MaliciousWitchy,1
0.0,0,blue,0,xtnjav,1
1.0,0,0,0,priyesh_lad,0
0.0,1,other,1,wootannnnn,1
1.0,0,blue,1,BlaCaSSo,0
1.0,0,blue,0,klewisd3,1
0.0,0,blue,0,Ckaaay__,1
0.0,1,blue,1,melodisthes,1
1.0,0,blue,0,Georgiann3990,1
0.0,1,other,1,cassiejimenez_,1
0.0,0,other,1,dollyymangoo,1
1.0,0,0,0,MichealDayoung,0
0.0,0,blue,0,courserepfelix,0
0.0,1,other,1,LindaRamnarine,1
1.0,0,blue,0,n1faping,0
1.0,0,other,0,BarbaraJoScott,1
0.0,1,other,1,Kerry_Louise993,1
1.0,0,other,0,patriciabragg,1
1.0,0,blue,1,D__REEZY,0
1.0,0,other,1,bootsiealert,0
0.0,0,blue,0,esmeraldaoldfi1,1
1.0,0,blue,0,guruchelles,1
0.0,1,other,1,CraigRobinson93,0
1.0,0,other,1,AngryBlkManDC,0
1.0,1,other,1,imyoungsaiah,0
0.0,0,0,0,PastorMatthewO,0
0.0,0,blue,0,JoeRoth19,0
0.0,1,other,1,IrvinDahvee,0
0.0,0,blue,0,saladino29,0
1.0,0,blue,0,TheUnits,0
1.0,1,0,1,GQ_GiftedQueen,1
0.0,1,0,1,doingerins,0
0.0,1,0,1,notcunterino,1
1.0,0,blue,1,cgnetwork,0
1.0,0,blue,1,abdulahbolakale,0
1.0,0,other,0,OrganicExpert,1
1.0,0,blue,1,CoGeous831,1
1.0,0,other,0,SusieCumberland,1
0.0,0,other,1,babewharry,0
1.0,1,0,0,izzyhardisty1,1
0.0,0,blue,0,Seth51102,0
1.0,0,0,0,Harbi_jama,0
1.0,1,0,0,scarydrew86,0
0.0,0,blue,0,BHoffmann_,0
1.0,0,other,1,Eustache_D,0
1.0,1,other,1,Poeish,0
1.0,0,blue,1,Donald_Mmola,0
1.0,1,0,1,Marcel_The_Nerd,0
0.0,1,0,0,kdollaaaz,1
1.0,0,0,0,King_Osafo,0
1.0,1,0,0,OffandOn13,0
0.0,1,0,1,caryanne_,1
1.0,1,blue,1,Daisy_child,1
0.0,1,0,0,breeeannep,1
0.0,1,blue,1,jaygetsweird,1
1.0,1,0,0,Esther_Kores,1
1.0,1,0,1,Con_Lemxnnn,0
1.0,0,other,0,whoknowstv,1
0.0,1,other,1,Bulo_TheAfrican,0
0.0,0,0,1,ihateColt45,1
0.0,0,blue,0,BossmanfRobert,0
0.0,1,other,1,JimmyJazz1968,0
1.0,1,0,1,CharismaTheKing,0
0.0,0,other,1,theylovintea_,1
0.0,0,blue,0,robert_stock7,0
0.0,1,0,1,osnapitzgracey,1
0.0,0,0,1,BaileysEZPicks,1
1.0,0,blue,1,rizeiz,0
1.0,0,blue,0,Beverley3918,1
0.0,0,blue,1,Ayu7sith4,1
0.0,1,blue,0,joshgbrown19,0
1.0,1,other,1,KristineWyllys,1
0.0,1,0,0,Ninami2525,0
0.0,0,other,0,leener76,1
1.0,1,blue,1,iwannaniallshug,0
0.0,0,blue,0,Bulah957,1
0.0,1,other,0,sXeBatpunk,0
1.0,1,0,1,JLenniDorner,1
0.0,0,other,1,illyill,1
0.0,0,other,1,ghost22sas,0
0.0,0,blue,0,mennace,0
0.0,1,blue,1,SAVALIIII,0
0.0,0,blue,0,hanlon_keith,1
1.0,0,blue,1,Hope4Siblings,1
0.0,0,0,0,JaneDoe023,1
0.0,1,blue,1,serenefrancesca,1
0.0,1,other,1,arianapeaceful,1
1.0,1,blue,1,STLAbuBadu,0
0.0,1,other,0,connor2110,0
0.0,1,other,0,SarahMarie0605,1
1.0,0,other,0,RyanMTracey,0
0.0,0,other,0,peaparker_,1
0.0,0,blue,0,loriewalker,1
1.0,1,0,1,INSPlRATIONS,0
1.0,1,blue,1,Jls_ca,1
0.0,1,blue,1,Phuck__Up,0
1.0,0,blue,1,sorayagarcia85,1
0.0,0,blue,0,brians62,0
1.0,1,blue,0,MericasCaptain,0
1.0,0,blue,0,YUNGHOMIE_KEYON,0
1.0,1,other,1,IsMiseBrendan,0
0.0,1,blue,1,A_its_AC,0
1.0,1,other,1,t_thombs,1
0.0,0,blue,0,youngali1864,0
1.0,0,0,0,shalltear_enbot,1
1.0,1,blue,1,FaheemCFC,0
0.0,0,blue,0,BurfordCarlton,1
1.0,0,0,0,mindyvonelling,1
1.0,0,blue,1,TerryNova_,1
0.0,0,blue,0,ElMacDeville,0
0.0,0,blue,0,paulwesleyshair,0
1.0,0,other,0,Trel67,0
0.0,1,other,1,tonyy_davis,0
0.0,1,other,1,DenuuSanchezzzz,1
0.0,1,0,0,mukesmadness,0
1.0,1,other,1,DolphinMick,0
0.0,0,blue,0,AdamHtheBlade27,0
1.0,0,other,0,lilstu76,1
0.0,1,0,1,katheyy_,1
1.0,0,other,1,ValPopescu,0
1.0,1,other,1,Criss16_,1
0.0,0,other,1,RobbyPaseky,0
1.0,0,other,1,NotI_SaidTheCat,1
1.0,1,other,1,ckeogh1971,0
1.0,0,blue,0,intunes1,0
0.0,1,blue,0,sgraver13,1
0.0,1,blue,0,17LUCASx,0
1.0,0,blue,0,PoliticalTom,0
0.0,1,other,0,beccagraceface,1
0.0,1,0,0,cassaaandraa_,1
1.0,0,other,1,DavidThinkr,0
1.0,1,other,1,just_playsoccer,1
1.0,0,other,0,KirstynBerkey90,1
0.0,0,0,0,CoolJazFae,1
1.0,0,other,0,LisaMcCall,1
1.0,0,other,1,Khetha,0
1.0,0,blue,1,vladest_,0
1.0,1,blue,1,Raza_Lala_Khan,0
1.0,0,0,0,jaredkimball,0
0.0,0,blue,0,GioffryStyle,0
1.0,0,other,1,CoolWhipIV,0
0.0,0,0,0,chipndale_,0
1.0,0,blue,0,commendchat,0
0.0,1,0,0,JayFromAvo,0
0.0,0,other,0,DD621,0
1.0,1,blue,1,srzjwalters,1
1.0,1,blue,0,j_alex_9,0
1.0,1,0,1,ghostlygarcia,1
0.0,0,blue,1,Keepontruckin71,0
0.0,1,blue,0,DavidDavidjh14,0
0.0,1,0,1,EmilyBaptista96,1
0.0,1,other,1,chefyazzy,1
0.0,0,blue,0,IncitatusSwift,0
0.0,0,0,0,mattfink8,0
0.0,0,other,1,SLukitomo,1
1.0,1,other,1,KarinaSanz07,1
1.0,0,blue,1,KeneAmazu,0
0.0,1,blue,0,heather_wicker,1
0.0,0,other,0,DanSimsonAT,0
0.0,1,blue,0,watermeIonqueen,1
0.0,0,blue,0,JohnJohndel2,0
0.0,1,other,1,EricBooth,0
0.0,0,other,0,eriiikkact,1
1.0,0,blue,0,campertodd,0
0.0,1,other,1,PreachySnow,1
0.0,1,other,1,NouisBums,1
1.0,0,blue,1,Smilodon48,1
0.0,0,blue,0,tzvikapo,0
1.0,1,blue,1,DianneDyconte,1
0.0,1,blue,0,James004James,0
0.0,1,other,1,Puk3stigate,0
0.0,0,other,0,l0venadaya,1
1.0,1,other,1,mikster,1
1.0,1,blue,1,cliffordsIwt,1
1.0,0,blue,0,Raya__Lovers,1
0.0,1,blue,0,9020Salman,0
0.0,0,other,1,TreaTrizzy_,1
1.0,1,other,1,hangingsliders,1
0.0,1,other,0,lizzyschultz98,1
0.0,1,blue,0,Shamalamal,0
1.0,1,other,0,dimplesdiaries,1
0.0,0,blue,0,omgitscharms,0
1.0,0,other,0,4totera,0
1.0,1,0,1,Phil_Cosby_,0
1.0,1,other,1,AliasCane,0
0.0,1,other,1,davelackie,0
0.0,0,blue,0,Justbelarry91,0
0.0,1,other,0,nightmareinpink,1
1.0,0,0,1,DaveyBenny,1
1.0,1,other,1,bgg2wl,1
0.0,0,blue,0,newsom95,0
0.0,1,other,1,YeahDirectioner,1
0.0,1,0,0,lil_brown_italo,0
1.0,1,0,0,Rasmika7,1
0.0,0,blue,0,_1tyren,0
0.0,1,other,1,LawrenceMorgan_,0
1.0,1,blue,1,MsAdlerIPresume,1
0.0,0,0,0,ramomann,0
0.0,0,other,0,MisBritBrit,1
1.0,1,other,1,felix_simonds,0
1.0,1,blue,1,SexyCandyAngel,0
0.0,0,other,1,gamesin,0
0.0,0,0,0,bscav96,1
1.0,0,other,1,PAllenSmith,0
0.0,1,blue,0,_NancyG_,1
0.0,1,blue,1,demabogari,1
1.0,1,other,0,15HUNTERC,0
0.0,1,blue,1,iamsrksDon,0
1.0,1,0,1,adrianarraquel,1
0.0,0,blue,0,MonicaKoch18,1
1.0,0,other,1,VusiKManana,0
0.0,0,other,0,xoxo11_asuka,1
0.0,0,other,1,MsCoMpliCaTeDTK,1
0.0,0,other,1,Eternity9,1
1.0,0,blue,1,TerryNova_,1
1.0,0,other,0,haydnsym,0
0.0,0,other,0,42HERMINIA_Hail,1
1.0,1,other,0,Irakiennex,1
1.0,1,other,1,agapedominion,0
0.0,0,0,0,pinknbluesocks,1
1.0,1,0,0,AaronWayman,0
1.0,0,blue,0,timhyjek,0
0.0,0,other,1,_PrettyDessiy,1
1.0,1,0,1,LissaChaos,0
1.0,1,other,1,drewfoundland,0
1.0,0,other,0,Rob_Aitchison,0
1.0,0,other,0,geekpryde,0
1.0,0,blue,0,kungfudagreat1,0
1.0,0,other,1,ORARiccardo,0
0.0,1,other,0,cmstenko,1
0.0,1,other,1,RayahsWorld,1
0.0,1,blue,1,Paw_Online,0
0.0,1,other,1,mtrychon,1
0.0,0,blue,0,LeeKenny95,0
1.0,0,blue,0,PRP_Sports,0
1.0,1,0,1,NadiasArtistry,1
1.0,1,other,0,milesdavix,0
1.0,0,0,0,ElizabethApril_,1
0.0,1,other,1,averytheloser,1
1.0,1,0,1,alessia_bosch,1
0.0,1,blue,1,Troy__Jr,0
0.0,1,other,0,EmilyKitchingx,1
0.0,0,other,0,matthewdykstra,0
0.0,1,other,0,kennethtrujillo,0
0.0,1,blue,0,spotlessmindd_,1
0.0,0,other,0,OldTownGal,1
0.0,0,blue,1,therealbink_,1
1.0,1,blue,1,xAigueMarinex,1
1.0,0,0,1,SindyOriginal,1
0.0,1,other,1,sabryvassao,1
1.0,1,other,1,noscriptomylife,1
1.0,0,blue,0,little_army_guy,1
1.0,0,blue,0,sin_thetique,1
1.0,0,blue,0,dennis5926,0
0.0,0,blue,0,LinksAR_360,0
0.0,0,blue,0,malayy___,1
0.0,1,blue,1,DonKeeeem,0
1.0,0,blue,0,xxxhoz,1
1.0,0,other,0,tknolan,1
1.0,0,0,0,AlexCena_TX,0
1.0,1,0,1,SquirtleSquad7,0
1.0,0,other,1,KevinMercuri,0
1.0,1,blue,1,Muthoga_Jay,0
0.0,1,other,0,tahylerin,1
1.0,1,other,1,euanspc,0
1.0,0,blue,0,JMW2906,0
0.0,0,blue,1,craigsmithim,0
0.0,1,other,1,peggy_04,0
1.0,0,other,0,lastrolo90,0
0.0,1,blue,1,KidKeeble,0
0.0,1,blue,0,laniebug62,1
1.0,1,other,0,icybomb_,0
0.0,1,blue,0,Size_OG,0
1.0,0,blue,0,chazaustin9,0
1.0,0,other,1,Freak4Harvick,0
1.0,1,other,0,HeatherMallick,1
1.0,1,0,1,UtdMahon,0
1.0,0,other,0,Samajra,1
1.0,1,blue,1,jmhomeniuk1,1
1.0,1,0,1,Ms_Kushington,1
1.0,0,0,1,tobitac,0
0.0,0,0,1,iKeen4n,0
0.0,0,other,1,mpigliucci,0
1.0,0,blue,0,scott94delaney,0
0.0,1,0,0,courts_fellows1,1
1.0,1,other,1,thecoolnoodle,0
1.0,0,blue,0,QuotesByRichard,0
1.0,1,blue,1,EverjoiceWin,1
0.0,1,other,0,MegMckly,1
0.0,1,other,1,paynescupcake,0
1.0,0,blue,0,FresaLinda_,1
0.0,1,other,1,ashleyy_morrris,1
0.0,0,blue,1,elainechilversn,1
